No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3testwnoise4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
31745 1 -Switched Freq from f_1200 to: f_2200
31782 1 -Switched Freq from f_2200 to: f_1200
31828 1 -Switched Freq from f_1200 to: f_2200
31913 2 -Switched Freq from f_2200 to: f_1200
31944 1 -Switched Freq from f_1200 to: f_2200
31999 1 -Switched Freq from f_2200 to: f_1200
32067 2 -Switched Freq from f_1200 to: f_2200
32154 2 -Switched Freq from f_2200 to: f_1200
32264 3 -Switched Freq from f_1200 to: f_2200
32346 2 -Switched Freq from f_2200 to: f_1200
32432 2 -Switched Freq from f_1200 to: f_2200
32595 4 -Switched Freq from f_2200 to: f_1200
32663 2 -Switched Freq from f_1200 to: f_2200
32792 3 -Switched Freq from f_2200 to: f_1200
32905 3 -Switched Freq from f_1200 to: f_2200
32960 1 -Switched Freq from f_2200 to: f_1200
32988 1 -Switched Freq from f_1200 to: f_2200
33027 1 -Switched Freq from f_2200 to: f_1200
33071 1 -Switched Freq from f_1200 to: f_2200
33231 4 -Switched Freq from f_2200 to: f_1200
33344 3 -Switched Freq from f_1200 to: f_2200
33399 1 -Switched Freq from f_2200 to: f_1200
33534 3 -Switched Freq from f_1200 to: f_2200
33548 0 -Switched Freq from f_2200 to: f_1200
33558 0 -Switched Freq from f_1200 to: f_2200
33584 1 -Switched Freq from f_2200 to: f_1200
33631 1 -Switched Freq from f_1200 to: f_2200
33671 1 -Switched Freq from f_2200 to: f_1200
33704 1 -Switched Freq from f_1200 to: f_2200
33756 1 -Switched Freq from f_2200 to: f_1200
33827 2 -Switched Freq from f_1200 to: f_2200
33864 1 -Switched Freq from f_2200 to: f_1200
34058 5 -Switched Freq from f_1200 to: f_2200
34204 4 -Switched Freq from f_2200 to: f_1200
34230 1 -Switched Freq from f_1200 to: f_2200
34344 3 -Switched Freq from f_2200 to: f_1200
34510 4 -Switched Freq from f_1200 to: f_2200
34597 2 -Switched Freq from f_2200 to: f_1200
34666 2 -Switched Freq from f_1200 to: f_2200
34703 1 -Switched Freq from f_2200 to: f_1200
34831 3 -Switched Freq from f_1200 to: f_2200
34870 1 -Switched Freq from f_2200 to: f_1200
34943 2 -Switched Freq from f_1200 to: f_2200
34997 1 -Switched Freq from f_2200 to: f_1200
35146 4 -Switched Freq from f_1200 to: f_2200
35183 1 -Switched Freq from f_2200 to: f_1200
35229 1 -Switched Freq from f_1200 to: f_2200
35271 1 -Switched Freq from f_2200 to: f_1200
35302 1 -Switched Freq from f_1200 to: f_2200
35356 1 -Switched Freq from f_2200 to: f_1200
35427 2 -Switched Freq from f_1200 to: f_2200
35485 1 -Switched Freq from f_2200 to: f_1200
35510 1 -Switched Freq from f_1200 to: f_2200
35550 1 -Switched Freq from f_2200 to: f_1200
35634 2 -Switched Freq from f_1200 to: f_2200
35797 4 -Switched Freq from f_2200 to: f_1200
35826 1 -Switched Freq from f_1200 to: f_2200
35864 1 -Switched Freq from f_2200 to: f_1200
35909 1 -Switched Freq from f_1200 to: f_2200
35994 2 -Switched Freq from f_2200 to: f_1200
36105 3 -Switched Freq from f_1200 to: f_2200
36188 2 -Switched Freq from f_2200 to: f_1200
36261 2 -Switched Freq from f_1200 to: f_2200
36314 1 -Switched Freq from f_2200 to: f_1200
36426 3 -Switched Freq from f_1200 to: f_2200
36462 1 -Switched Freq from f_2200 to: f_1200
36510 1 -Switched Freq from f_1200 to: f_2200
36548 1 -Switched Freq from f_2200 to: f_1200
36581 1 -Switched Freq from f_1200 to: f_2200
36634 1 -Switched Freq from f_2200 to: f_1200
36706 2 -Switched Freq from f_1200 to: f_2200
36742 1 -Switched Freq from f_2200 to: f_1200
36789 1 -Switched Freq from f_1200 to: f_2200
36827 1 -Switched Freq from f_2200 to: f_1200
36941 3 -Switched Freq from f_1200 to: f_2200
37069 3 -Switched Freq from f_2200 to: f_1200
37141 2 -Switched Freq from f_1200 to: f_2200
37194 1 -Switched Freq from f_2200 to: f_1200
37225 1 -Switched Freq from f_1200 to: f_2200
37263 1 -Switched Freq from f_2200 to: f_1200
37389 3 -Switched Freq from f_1200 to: f_2200
37427 1 -Switched Freq from f_2200 to: f_1200
37500 2 -Switched Freq from f_1200 to: f_2200
37701 5 -Switched Freq from f_2200 to: f_1200
37788 2 -Switched Freq from f_1200 to: f_2200
37827 1 -Switched Freq from f_2200 to: f_1200
