No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
15992 1 -Switched Freq from f_2200 to: f_1200
16025 1 -Switched Freq from f_1200 to: f_2200
16152 3 -Switched Freq from f_2200 to: f_1200
16185 1 -Switched Freq from f_1200 to: f_2200
16239 1 -Switched Freq from f_2200 to: f_1200
16268 1 -Switched Freq from f_1200 to: f_2200
16305 1 -Switched Freq from f_2200 to: f_1200
16352 1 -Switched Freq from f_1200 to: f_2200
16392 1 -Switched Freq from f_2200 to: f_1200
16505 3 -Switched Freq from f_1200 to: f_2200
16632 3 -Switched Freq from f_2200 to: f_1200
16904 7 -Switched Freq from f_1200 to: f_2200
16958 1 -Switched Freq from f_2200 to: f_1200
17228 7 -Switched Freq from f_1200 to: f_2200
17264 1 -Switched Freq from f_2200 to: f_1200
17551 7 -Switched Freq from f_1200 to: f_2200
17591 1 -Switched Freq from f_2200 to: f_1200
17875 7 -Switched Freq from f_1200 to: f_2200
17917 1 -Switched Freq from f_2200 to: f_1200
18187 7 -Switched Freq from f_1200 to: f_2200
18223 1 -Switched Freq from f_2200 to: f_1200
18511 7 -Switched Freq from f_1200 to: f_2200
18550 1 -Switched Freq from f_2200 to: f_1200
18834 7 -Switched Freq from f_1200 to: f_2200
18876 1 -Switched Freq from f_2200 to: f_1200
18987 3 -Switched Freq from f_1200 to: f_2200
19023 1 -Switched Freq from f_2200 to: f_1200
19070 1 -Switched Freq from f_1200 to: f_2200
19109 1 -Switched Freq from f_2200 to: f_1200
19194 2 -Switched Freq from f_1200 to: f_2200
Created new Packet
19262 2 -Switched Freq from f_2200 to: f_1200
19310 1 -Switched Freq from f_1200 to: f_2200
19349 1 -Switched Freq from f_2200 to: f_1200
19434 2 -Switched Freq from f_1200 to: f_2200
19502 2 -Switched Freq from f_2200 to: f_1200
19550 1 -Switched Freq from f_1200 to: f_2200
19589 1 -Switched Freq from f_2200 to: f_1200
19634 1 -Switched Freq from f_1200 to: f_2200
19675 1 -Switched Freq from f_2200 to: f_1200
19706 1 -Switched Freq from f_1200 to: f_2200
19788 2 -Switched Freq from f_2200 to: f_1200
19834 1 -Switched Freq from f_1200 to: f_2200
19875 1 -Switched Freq from f_2200 to: f_1200
19906 1 -Switched Freq from f_1200 to: f_2200
19942 1 -Switched Freq from f_2200 to: f_1200
19990 1 -Switched Freq from f_1200 to: f_2200
20028 1 -Switched Freq from f_2200 to: f_1200
20113 2 -Switched Freq from f_1200 to: f_2200
20155 1 -Switched Freq from f_2200 to: f_1200
20186 1 -Switched Freq from f_1200 to: f_2200
20241 1 -Switched Freq from f_2200 to: f_1200
20270 1 -Switched Freq from f_1200 to: f_2200
20308 1 -Switched Freq from f_2200 to: f_1200
20353 1 -Switched Freq from f_1200 to: f_2200
20441 2 -Switched Freq from f_2200 to: f_1200
20470 1 -Switched Freq from f_1200 to: f_2200
20508 1 -Switched Freq from f_2200 to: f_1200
20553 1 -Switched Freq from f_1200 to: f_2200
20594 1 -Switched Freq from f_2200 to: f_1200
20626 1 -Switched Freq from f_1200 to: f_2200
20681 1 -Switched Freq from f_2200 to: f_1200
20749 2 -Switched Freq from f_1200 to: f_2200
20787 1 -Switched Freq from f_2200 to: f_1200
20833 1 -Switched Freq from f_1200 to: f_2200
